Year,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Season
1925-1926,M,M,M,M,0.1,2.9,8.1,34.7,9.1,0.6,M,M,M
1926-1927,M,M,M,T,T,27.3,17.6,M,0.7,0.5,M,M,M
1927-1928,M,M,M,M,0.1,2.2,7.1,12.6,8.4,0.8,M,M,M
1928-1929,M,M,M,M,1.5,4.7,14.5,25.3,9.5,6,0,M,M
1929-1930,M,M,M,M,4,13.1,7.9,9,0.3,T,0,M,M
1930-1931,M,0,M,0.1,0.1,12.1,14.2,14.4,M,2.8,0,M,M
1931-1932,0,M,0,M,0.3,2.1,10.7,10.7,M,0.2,0,M,M
1932-1933,0,M,0,0,T,10.9,2.5,23.4,18.8,6.9,0,0,M
1933-1934,0,0,0,0,5.7,20.3,1.4,34.7,9.4,T,M,0,M
1934-1935,0,0,0,4.2,T,1.5,27.2,M,3.1,5.1,T,M,M
1935-1936,M,0,M,0,3.4,0.9,M,12.2,M,T,0,M,M
1936-1937,M,M,M,0,4.9,T,2.7,0.4,4.3,T,M,M,M
1937-1938,M,M,M,M,2.3,5.6,M,15.9,1.6,0.6,M,M,M
1938-1939,M,M,M,M,14.1,3.7,10.7,7.8,25,1,M,M,M
1939-1940,M,M,M,M,2.4,7.3,8.5,34.4,1.9,3.4,M,M,M
1940-1941,M,M,M,T,9.7,5.2,25.8,1.5,M,T,T,M,M
1941-1942,M,M,M,M,0,0.4,12.7,9.6,11.6,5.5,M,0,M
1942-1943,M,M,M,M,T,11.3,31.1,6.2,12.3,0.3,M,M,M
1943-1944,M,M,M,T,4.4,0.1,7,11.2,14.6,T,M,M,M
1944-1945,M,M,M,0,8.4,M,22.3,25.5,3.3,0,T,0,M
1945-1946,M,0,M,M,16.7,45.2,11.9,14,2.5,0.9,0,M,M
1946-1947,M,M,0,0,0,7.9,7.8,11.3,3.5,3.5,T,M,M
1947-1948,0,0,0,M,4.8,39.5,56.3,21.6,13.8,T,0,0,M
1948-1949,M,M,M,0,1.8,10.9,13.9,8.4,22.2,T,0,0,M
1949-1950,T,0,T,0,1.8,5.6,6.2,21.1,14.1,0.1,0,T,48.9
1950-1951,0,0,0,0,0.5,4.6,14.9,14.6,6.7,0,0,0,41.3
1951-1952,0,0,0,0,0.3,12.3,19,26.1,3.3,T,T,0,61
1952-1953,0,0,0,T,0.1,7.5,22.7,17.2,0.6,8.4,0,0,56.5
1953-1954,0,0,0,0,T,T,28.1,1.8,M,2.6,0,0,M
1954-1955,0,0,T,0,0.1,18.7,1.1,8.5,13.7,0.8,0,0,42.9
1955-1956,T,0,0,0,5.2,3.4,14.7,20.4,52,11.1,0,0,106.8
1956-1957,0,0,0,0,0.7,22.7,24.6,4.5,24.7,3.6,0,0,80.8
1957-1958,0,0,0,M,0.2,0.2,22.3,26.4,30.6,10.6,0,0,M
1958-1959,0,0,0,0,T,7.7,4.7,10.9,22.3,T,0,0,45.6
1959-1960,0,0,0,0,1.5,5.8,11.6,4.1,33.9,0,0,0,56.9
1960-1961,0,0,0,3,T,27.1,21.1,16,17.4,3.5,0,0,88.1
1961-1962,0,0,0,T,2.7,18.3,4.7,30.1,1.5,3,0,0,60.3
1962-1963,0,0,0,3,3.4,6.1,8,8.4,17.5,T,0,0,46.4
1963-1964,0,0,0,0.2,0,25.2,20.1,32.2,8.3,T,0,0,86
1964-1965,0,0,0,0,0,11.9,33,5,11.8,3.7,0,0,65.4
1965-1966,0,0,0,0,T,2.4,46,20.5,4.8,T,0,0,73.7
1966-1967,0,0,0,0,0,13.8,2.4,45.2,41,7.2,T,0,109.6
1967-1968,0,0,0,0,5.8,22.8,23.2,5.7,10.2,0,0,0,67.7
1968-1969,0,0,0,0,0.4,5.2,0.9,65.4,11.9,0,0,0,83.8
1969-1970,0,0,0,T,0,21,10.6,7.9,20.8,1,0,0,61.3
1970-1971,0,0,0,T,0,26.5,12.2,5.3,9.6,4.8,0,0,58.4
1971-1972,0,0,0,0,12,10.7,6.2,24.1,21.8,4.5,0,0,79.3
1972-1973,0,0,0,1,2,9.1,6.1,4,2,T,0,0,24.2
1973-1974,0,0,0,0,0,0.4,17.4,13.6,0.4,3,0,0,34.8
1974-1975,0,0,0,0,4.8,7.3,5.1,20.1,4.2,6.3,0,0,47.8
1975-1976,0,0,0,T,2.3,23.9,17.3,2.4,13.7,T,0,0,59.6
1976-1977,0,0,0,0,1.6,22.5,27.1,9.5,12.7,T,7.8,0,81.2
1977-1978,0,0,0,0,0.8,7.6,35.6,30.4,19,0.1,T,0,93.5
1978-1979,0,0,0,0,7.5,8,9,9.1,0.1,3.2,0,0,36.9
1979-1980,0,0,0,6.8,0,6.2,0.7,6.9,4.7,T,0,0,25.3
1980-1981,0,0,0,0,7.3,8.1,16.1,8.3,2.5,T,0,0,42.3
1981-1982,0,0,0,0,T,27.3,17.4,10.9,6,14,0,0,75.6
1982-1983,0,0,0,0,T,15.8,11.2,28.5,1,T,0,0,56.5
1983-1984,0,0,0,0,T,9.5,23.6,0.6,26.7,T,0,0,60.4
1984-1985,0,0,0,0,0.2,5.2,11.1,16.7,10.4,3.5,T,0,47.1
1985-1986,0,0,0,0,5.1,2.9,1.6,13.8,3,T,T,0,26.4
1986-1987,0,0,0,0,13.5,6.4,38.3,5.6,8.4,13.5,0,0,85.7
1987-1988,0,0,0,0,11.4,12.1,20.3,16.3,8.5,T,0,0,68.6
1988-1989,0,0,0,T,0,8.4,1.4,10.2,9.3,4.7,0,0,34
1989-1990,0,0,0,0,5.6,7.3,13.3,25.8,5.7,1.5,0.2,0,59.4
1990-1991,0,0,0,0,0.4,5.6,11.7,M,5.5,T,0,T,M
1991-1992,0,0,0,T,0.2,7.5,1.1,5,11.9,1.5,0,0,27.2
1992-1993,0,0,0,0,0.5,19,13.5,12.8,35.5,3,0,0,84.3
1993-1994,0,0,0,0,0.3,15,33,33.9,18.9,0,0,0,101.1
1994-1995,0,0,0,0,1.6,1.3,4.2,10,0.7,T,T,0,17.8
1995-1996,0,0,0,0,5.8,25.3,47.6,18.3,22.2,24.2,T,0,143.4
1996-1997,0,0,0,T,2.6,9.3,12.2,7.8,22.6,15.1,0,0,69.6
1997-1998,0,0,0,0,4.1,15.3,15.8,1,5.3,0.1,0,0,41.6
1998-1999,0,0,M,0,0,1.9,19.7,14.4,22.5,T,0,0,M
1999-2000,0,0,0,0,T,T,18.6,11,3,1,0,0,33.6
2000-2001,0,0,0,0.6,T,9.5,19.4,19,41.4,0.9,0,0,90.8
2001-2002,0,0,0,T,T,10.1,14.5,7.6,6.8,1.3,T,0,40.3
2002-2003,T,0,0,1.3,8.2,21.8,12.7,51.3,13,4.8,0,0,113.1
2003-2004,0,0,0,0.5,T,29.7,8.4,3.1,15.8,0.5,0,0,58
2004-2005,0,0,0,0,7.8,16.2,44.8,16.9,33.5,0.2,0,0,119.4
2005-2006,0,0,0,1.5,0.6,13.2,18.3,17.5,0.1,1,0,0,52.2
2006-2007,0,0,0,0,0,3.7,2.9,7.3,13.5,0.2,0,0,27.6
2007-2008,0,0,0,0,0.8,29.5,13.8,16,6.4,T,0,0,66.5
2008-2009,0,0,0,0,T,22.9,32.2,10.2,13.4,0.2,T,0,78.9
2009-2010,0,0,0,3,0,26.8,14.7,12,7.9,T,0,0,64.4
2010-2011,0,0,0,T,0.1,22.9,48.2,18.5,2.5,4.6,0,0,96.8
2011-2012,0,0,0,8.5,0,T,8,0.7,7,T,0,0,24.2
2012-2013,0,0,0,0,6,9.4,6,39.7,37.8,T,0,0,98.9
2013-2014,0,0,0,0,0.2,15.4,32.8,33,3,0.8,M,0,M
2014-2015,0,0,0,0,8.7,2.3,42.9,83.6,13.3,T,0,0,150.8
2015-2016,0,0,0,0,0,1.3,14.3,22.5,4.4,15,T,0,57.5
2016-2017,0,0,0,0,T,7.8,11.5,33,10.4,3.7,0,0,66.4
