Year,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Season
1955-1956,0,0,0,T,3,3.2,6.8,14.5,43.3,5.3,0,0,76.1
1956-1957,0,0,0,0,1,7.5,18.3,3.5,8.3,5.5,0,0,44.1
1957-1958,0,0,0,T,T,5.5,13.3,17.1,12.4,5.1,0,0,53.4
1958-1959,0,0,0,T,1.4,8.9,6.9,6.9,19.1,0,0,0,43.2
1959-1960,0,0,0,0,0.6,9.1,13.4,4.6,16.9,T,0,0,44.6
1960-1961,0,0,0,T,0,17.6,30.6,14.9,15.7,1.4,0,0,80.2
1961-1962,0,0,0,M,5,11.3,1.6,22.9,0.7,T,0,0,M
1962-1963,0,M,0,T,2.4,15.9,7.7,14.5,13.8,T,0,0,M
1963-1964,0,0,0,T,T,16.1,13.8,22,4.1,T,0,0,56
1964-1965,0,0,0,T,T,12.3,28.7,6,7.8,1.7,0,0,56.5
1965-1966,0,0,0,0,T,4.5,18.4,19.1,10.6,T,0,0,52.6
1966-1967,0,0,0,0,T,20,3,25.2,33.2,1.4,T,0,82.8
1967-1968,0,0,0,0,3.7,21.7,7.5,1.6,6.8,0,0,0,41.3
1968-1969,0,0,0,0,7.9,13.9,3.4,32.2,4.4,0,0,0,61.8
1969-1970,0,0,0,T,T,35.4,3.2,6.7,14.7,2,0,0,62
1970-1971,0,0,0,T,T,27,17.7,8.4,12.8,4,0,0,69.9
1971-1972,0,0,0,0,8.2,6.6,2.9,24.9,13.2,2.7,0,0,58.5
1972-1973,0,0,0,0.4,2.1,12,14.1,5.9,0.4,0.3,0,0,35.2
1973-1974,0,0,0,0,T,3.1,14.3,5.8,4.8,2.1,0,0,30.1
1974-1975,0,0,0,T,0.8,8.5,10.2,16,2.5,0.3,0,0,38.3
1975-1976,0,0,0,0,0.3,13.4,15.6,5,12.3,0,0,0,46.6
1976-1977,0,0,0,0,0.4,7.3,20,9.1,11,0.3,1.3,0,49.4
1977-1978,0,0,0,0,1.3,12.6,37,18.1,13.3,T,0,0,82.3
1978-1979,0,0,0,0,4.3,10.3,8.6,9.2,T,3.6,0,0,36
1979-1980,0,0,0,1.7,0,0.9,0.2,7.7,5.9,T,0,0,16.4
1980-1981,0,0,0,0,8.6,3.9,4.1,0.9,0.2,0,0,0,17.7
1981-1982,0,0,0,T,T,13.1,16.7,5.8,6.5,14.3,0,0,56.4
1982-1983,0,0,0,0,T,5.7,10.2,29.4,0.2,0.9,0,0,46.4
1983-1984,0,0,0,0,T,7.9,14.7,1.3,19.3,T,0,0,43.2
1984-1985,0,0,0,0,0.1,3.8,6.9,9.4,2.1,1.4,0,0,23.7
1985-1986,0,0,0,0,2,5.4,5.1,11.8,0.2,0.8,0,0,25.3
1986-1987,0,0,0,0,8.7,4.9,34,1.6,1.7,0.4,0,0,51.3
1987-1988,0,0,0,T,8.6,5.8,22.6,17.6,4.9,T,T,0,59.5
1988-1989,0,0,0,0,0,6.3,0.6,4.6,3.4,T,T,0,14.9
1989-1990,0,0,0,0,5.3,12.4,10.5,9,4.3,1.5,0,0,43
1990-1991,0,0,0,0,T,8.1,10.2,5.8,5.7,0,0,0,29.8
1991-1992,0,0,0,0,0.7,6,1.7,5.3,7.3,2.6,0,0,23.6
1992-1993,0,0,0,T,T,6.7,10.5,13.8,31.1,T,0,T,62.1
1993-1994,0,0,0,0,T,6.7,31.3,29.4,17.5,0,T,0,84.9
1994-1995,0,0,0,0,3.9,1.1,5.7,10.1,0,1.5,0,0,22.3
1995-1996,0,0,0,0,5.6,20.3,42.8,20.6,17.8,M,M,M,M
1996-1997,M,M,M,M,M,M,M,M,M,M,M,M,M
1997-1998,M,M,M,M,M,M,M,M,M,M,M,M,M
1998-1999,M,M,M,M,M,M,M,M,M,M,M,M,M
1999-2000,M,M,M,M,M,M,M,M,13.5,M,M,M,M
2000-2001,M,M,M,M,M,8,10.4,21.4,13.5,0,M,M,M
2001-2002,M,M,M,M,M,3,M,M,M,M,M,M,M
2002-2003,M,M,M,M,M,13.6,15.6,21.4,11.1,2.3,0,0,M
2003-2004,0,0,0,T,T,23.4,11.1,4,7,0,0,0,45.5
2004-2005,0,0,0,0,1.5,9.6,27.7,16.3,19,0,0,0,74.1
2005-2006,0,0,0,0,3.3,16.6,21.8,22.2,4.8,1.2,0,0,69.9
2006-2007,0,0,0,0,0,T,1.2,11.2,11.6,T,0,0,24
2007-2008,0,0,0,0,1,18.8,10.6,12.9,4.2,0,T,0,47.5
2008-2009,0,T,0,0,T,20.7,12.9,3.9,8,0,0,0,45.5
2009-2010,0,0,0,T,0,12.8,6.4,11.4,T,0,0,0,30.6
2010-2011,0,0,0,0,T,14.2,54.3,15.6,1,1.3,0,0,86.4
2011-2012,0,0,0,12.3,0,T,6.8,5.9,1.7,0,0,0,26.7
2012-2013,0,0,0,0,2.9,12.9,5.9,25.4,9.8,0,0,0,56.9
2013-2014,0,0,0,T,T,12.7,10.3,27.1,0.8,0.2,0,0,51.1
2014-2015,0,0,0,0,5.1,0.7,17.1,31.9,9,T,0,0,63.8
2015-2016,0,0,0,T,0,1,1.9,14.2,2.9,6.9,0,0,26.9
2016-2017,0,0,0,1.5,T,10.2,8.4,22.6,19.1,0.5,0,0,62.3
